name,label,concept
P148A003,Total: Male: Less than 9th grade,P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A004,"Total: Male: 9th to 12th grade, no diploma",P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A005,Total: Male: High school graduate (includes equivalency),P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A006,"Total: Male: Some college, no degree",P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A007,Total: Male: Associate degree,P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A008,Total: Male: Bachelor's degree,P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A009,Total: Male: Graduate or professional degree,P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A011,Total: Female: Less than 9th grade,P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A012,"Total: Female: 9th to 12th grade, no diploma",P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A013,Total: Female: High school graduate (includes equivalency),P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A014,"Total: Female: Some college, no degree",P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A015,Total: Female: Associate degree,P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A016,Total: Female: Bachelor's degree,P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
P148A017,Total: Female: Graduate or professional degree,P148A. Sex by Educational Attainment for the Population 25 Years and Over (White Alone) [17]
